Data recorded on Sun May 14 18:35:20 CAT 2017
Time: 18:35:20
Time		Millis		IR PPG		Red PPG		Filtered		SSF
35,24	,	3685	,	-14109	,	-14136	,	-965.2811	,	0
35,24	,	3715	,	-22363	,	-22307	,	-2482.4229	,	0
35,24	,	3731	,	-30505	,	-23288	,	-4415.2095	,	0
35,24	,	3748	,	-37846	,	-23287	,	-6489.6577	,	0
35,24	,	3779	,	-37867	,	-23270	,	-8595.3	,	0
35,24	,	3795	,	-37849	,	-23246	,	-10563.452	,	0
35,24	,	3811	,	-37839	,	-23261	,	-12134.139	,	0
35,24	,	3843	,	-37851	,	-23262	,	-13070.401	,	0
35,24	,	3859	,	-37836	,	-23265	,	-13251.137	,	0
35,24	,	3875	,	-37860	,	-23265	,	-12686.848	,	564
35,24	,	3907	,	-37873	,	-23272	,	-11494.924	,	1191
35,24	,	3923	,	-37878	,	-23276	,	-9858.699	,	1636
35,24	,	3939	,	-37878	,	-23270	,	-7985.1436	,	1873
35,24	,	3955	,	-37873	,	-23268	,	-6070.0947	,	1915
35,24	,	3987	,	-37874	,	-23266	,	-4274.823	,	1795
35,24	,	4003	,	-37894	,	-23269	,	-2714.0874	,	1560
35,24	,	4019	,	-37886	,	-23275	,	-1453.6865	,	1260
35,24	,	4051	,	-37898	,	-23272	,	-514.71375	,	938
35,24	,	4067	,	-37904	,	-23278	,	117.68091	,	632
35,24	,	4083	,	-37915	,	-23278	,	483.3144	,	365
35,24	,	4115	,	-37924	,	-23276	,	636.10266	,	152
35,24	,	4131	,	-37936	,	-23280	,	634.5838	,	0
35,24	,	4147	,	-37942	,	-23285	,	534.53656	,	0
35,24	,	4179	,	-37969	,	-23290	,	383.93912	,	0
35,24	,	4195	,	-37981	,	-23298	,	220.14447	,	0
35,24	,	4211	,	-37986	,	-23302	,	69.26248	,	0
35,24	,	4227	,	-38002	,	-23303	,	-52.897156	,	0
35,24	,	4259	,	-38017	,	-23299	,	-139.32605	,	0
35,24	,	4275	,	-38022	,	-23316	,	-189.86723	,	0
35,24	,	4291	,	-38042	,	-23325	,	-208.93683	,	0
35,24	,	4323	,	-38065	,	-23304	,	-203.5831	,	5
35,24	,	4339	,	-38077	,	-23322	,	-181.88718	,	21
35,24	,	4355	,	-38100	,	-23326	,	-151.53677	,	30
35,24	,	4387	,	-38106	,	-23332	,	-118.87819	,	32
35,24	,	4403	,	-38117	,	-23333	,	-88.454285	,	30
35,24	,	4419	,	-38122	,	-23338	,	-62.931396	,	25
35,24	,	4435	,	-38131	,	-23339	,	-43.415684	,	19
35,24	,	4467	,	-38108	,	-23318	,	-29.773163	,	13
35,24	,	4483	,	-38056	,	-23310	,	-20.617456	,	9
35,24	,	4499	,	-37990	,	-23304	,	-13.373623	,	7
35,24	,	4531	,	-37938	,	-23282	,	-5.0439596	,	8
35,24	,	4547	,	-37925	,	-23275	,	6.4223633	,	11
35,24	,	4563	,	-37909	,	-23267	,	21.119503	,	14
35,25	,	4595	,	-37869	,	-23265	,	37.575466	,	16
35,25	,	4611	,	-37839	,	-23253	,	54.043446	,	16
35,25	,	4627	,	-37821	,	-23245	,	69.15286	,	15
35,25	,	4659	,	-37798	,	-23242	,	81.81372	,	12
35,25	,	4675	,	-37792	,	-23235	,	91.170006	,	9
35,25	,	4691	,	-37807	,	-23236	,	96.52059	,	5
35,25	,	4707	,	-37792	,	-23234	,	97.29784	,	0
35,25	,	4738	,	-37807	,	-23239	,	93.39981	,	0
35,25	,	4771	,	-37817	,	-23236	,	73.72887	,	0
35,25	,	4803	,	-37814	,	-23251	,	59.88966	,	0
35,25	,	4819	,	-37814	,	-23236	,	45.162262	,	0
35,25	,	4834	,	-37824	,	-23224	,	30.899025	,	0
35,25	,	4866	,	-37829	,	-23235	,	18.067722	,	0
35,25	,	4882	,	-37827	,	-23232	,	7.217821	,	0
35,25	,	4898	,	-37842	,	-23238	,	-1.400816	,	0
35,25	,	4930	,	-37845	,	-23247	,	-7.855341	,	0
35,25	,	4947	,	-37850	,	-23244	,	-12.440904	,	0
35,25	,	4963	,	-37870	,	-23248	,	-15.549757	,	0
35,25	,	4979	,	-37878	,	-23250	,	-17.708857	,	0
35,25	,	5010	,	-37882	,	-23252	,	-19.430279	,	0
35,25	,	5026	,	-37890	,	-23254	,	-20.953487	,	0
35,25	,	5043	,	-37906	,	-23273	,	-22.330551	,	0
35,25	,	5074	,	-37925	,	-23265	,	-23.69347	,	0
35,25	,	5090	,	-37955	,	-23276	,	-25.379517	,	0
35,25	,	5106	,	-37976	,	-23283	,	-27.848934	,	0
35,25	,	5138	,	-37982	,	-23287	,	-31.353855	,	0
35,25	,	5170	,	-37996	,	-23295	,	-40.08871	,	0
35,25	,	5202	,	-38012	,	-23296	,	-43.898888	,	0
35,25	,	5218	,	-38035	,	-23310	,	-46.574493	,	0
35,25	,	5234	,	-38042	,	-23309	,	-48.099503	,	0
35,25	,	5250	,	-38054	,	-23305	,	-48.682697	,	0
35,25	,	5282	,	-38055	,	-23308	,	-48.440704	,	0
35,25	,	5298	,	-38078	,	-23321	,	-47.443233	,	0
35,25	,	5314	,	-38065	,	-23319	,	-45.80547	,	1
35,25	,	5346	,	-38000	,	-23276	,	-43.18907	,	2
35,25	,	5362	,	-37945	,	-23256	,	-38.218567	,	4
35,25	,	5378	,	-37909	,	-23255	,	-29.14571	,	9
35,25	,	5410	,	-37864	,	-23251	,	-15.146212	,	13
35,25	,	5426	,	-37838	,	-23240	,	3.2333794	,	18
35,25	,	5442	,	-37808	,	-23234	,	24.368793	,	21
35,25	,	5474	,	-37796	,	-23233	,	46.02314	,	21
35,25	,	5491	,	-37756	,	-23223	,	65.95621	,	19
35,25	,	5506	,	-37753	,	-23223	,	82.46091	,	16
35,25	,	5522	,	-37725	,	-23213	,	94.48013	,	12
35,25	,	5554	,	-37729	,	-23206	,	101.5077	,	7
35,25	,	5570	,	-37738	,	-23216	,	103.3891	,	1
35,26	,	5586	,	-37744	,	-23211	,	100.12583	,	0
35,26	,	5618	,	-37750	,	-23214	,	92.03438	,	0
35,26	,	5634	,	-37746	,	-23219	,	79.99646	,	0
35,26	,	5650	,	-37745	,	-23223	,	65.435776	,	0
35,26	,	5682	,	-37759	,	-23220	,	49.949844	,	0
35,26	,	5698	,	-37746	,	-23211	,	34.904392	,	0
35,26	,	5714	,	-37744	,	-23217	,	21.431341	,	0
35,26	,	5730	,	-37756	,	-23224	,	10.383795	,	0
35,26	,	5762	,	-37760	,	-23221	,	2.0347977	,	0
35,26	,	5778	,	-37771	,	-23223	,	-3.9049006	,	0
35,26	,	5794	,	-37791	,	-23228	,	-8.0566025	,	0
35,26	,	5826	,	-37798	,	-23240	,	-11.199798	,	0
35,26	,	5842	,	-37816	,	-23251	,	-14.01501	,	0
35,26	,	5858	,	-37844	,	-23239	,	-17.012457	,	0
35,26	,	5890	,	-37836	,	-23230	,	-20.521729	,	0
35,26	,	5906	,	-37869	,	-23254	,	-24.51559	,	0
35,26	,	5922	,	-37885	,	-23257	,	-28.694298	,	0
35,26	,	5954	,	-37885	,	-23259	,	-32.677376	,	0
35,26	,	5970	,	-37898	,	-23263	,	-36.15225	,	0
35,26	,	5986	,	-37930	,	-23266	,	-39.10827	,	0
35,26	,	6002	,	-37921	,	-23272	,	-41.716618	,	0
35,26	,	6034	,	-37953	,	-23279	,	-43.98829	,	0
35,26	,	6050	,	-37958	,	-23286	,	-45.836285	,	0
35,26	,	6066	,	-37958	,	-23281	,	-47.157887	,	0
35,26	,	6098	,	-37987	,	-23296	,	-47.78412	,	0
35,26	,	6114	,	-38022	,	-23299	,	-47.861565	,	0
35,26	,	6130	,	-38015	,	-23311	,	-47.91571	,	0
35,26	,	6162	,	-38023	,	-23310	,	-48.14759	,	0
35,26	,	6178	,	-38053	,	-23307	,	-48.325806	,	0
35,26	,	6194	,	-37982	,	-23295	,	-47.993088	,	0
35,26	,	6226	,	-37942	,	-23281	,	-45.894814	,	2
35,26	,	6242	,	-37888	,	-23259	,	-40.077126	,	5
35,26	,	6257	,	-37835	,	-23254	,	-29.039747	,	11
35,26	,	6274	,	-37803	,	-23243	,	-12.471607	,	16
35,26	,	6305	,	-37773	,	-23238	,	8.562433	,	21
35,26	,	6337	,	-37730	,	-23242	,	54.79192	,	22
35,26	,	6370	,	-37698	,	-23238	,	75.02631	,	20
35,26	,	6386	,	-37697	,	-23207	,	90.98277	,	15
35,26	,	6402	,	-37682	,	-23207	,	101.68756	,	10
35,26	,	6434	,	-37686	,	-23208	,	106.65166	,	4
35,26	,	6450	,	-37699	,	-23214	,	105.83708	,	0
35,26	,	6466	,	-37714	,	-23212	,	99.506226	,	0
35,26	,	6497	,	-37721	,	-23214	,	88.252975	,	0
35,26	,	6513	,	-37724	,	-23214	,	73.1926	,	0
35,26	,	6530	,	-37708	,	-23211	,	56.015102	,	0
35,26	,	6545	,	-37722	,	-23217	,	38.702763	,	0
35,27	,	6578	,	-37721	,	-23217	,	22.923347	,	0
35,27	,	6593	,	-37724	,	-23220	,	9.686462	,	0
35,27	,	6609	,	-37724	,	-23219	,	-0.5383549	,	0
35,27	,	6641	,	-37747	,	-23217	,	-7.7718506	,	0
35,27	,	6658	,	-37753	,	-23221	,	-12.564404	,	0
35,27	,	6674	,	-37766	,	-23226	,	-15.731897	,	0
35,27	,	6705	,	-37771	,	-23236	,	-17.967678	,	0
35,27	,	6721	,	-37803	,	-23245	,	-19.736877	,	0
35,27	,	6737	,	-37817	,	-23247	,	-21.403164	,	0
35,27	,	6769	,	-37817	,	-23239	,	-23.28267	,	0
35,27	,	6785	,	-37813	,	-23253	,	-25.470592	,	0
35,27	,	6801	,	-37835	,	-23248	,	-27.758999	,	0
35,27	,	6817	,	-37859	,	-23256	,	-29.984047	,	0
35,27	,	6849	,	-37881	,	-23266	,	-32.32448	,	0
35,27	,	6865	,	-37891	,	-23273	,	-35.054768	,	0
35,27	,	6881	,	-37916	,	-23284	,	-38.220753	,	0
35,27	,	6913	,	-37924	,	-23264	,	-41.65927	,	0
35,27	,	6929	,	-37932	,	-23272	,	-45.04214	,	0
35,27	,	6945	,	-37960	,	-23283	,	-47.97406	,	0
35,27	,	6977	,	-37965	,	-23292	,	-50.243748	,	0
35,27	,	6993	,	-37981	,	-23294	,	-51.79475	,	0
35,27	,	7009	,	-37992	,	-23293	,	-52.58101	,	0
35,27	,	7041	,	-38007	,	-23289	,	-52.621777	,	0
35,27	,	7057	,	-37996	,	-23295	,	-51.92465	,	0
35,27	,	7073	,	-37952	,	-23281	,	-50.064545	,	1
35,27	,	7089	,	-37913	,	-23265	,	-45.91575	,	4
35,27	,	7137	,	-37805	,	-23254	,	-25.74114	,	12
35,27	,	7153	,	-37788	,	-23229	,	-8.691486	,	17
35,27	,	7185	,	-37760	,	-23232	,	11.924282	,	20
35,27	,	7201	,	-37753	,	-23223	,	33.900074	,	21
35,27	,	7217	,	-37724	,	-23211	,	54.68362	,	20
35,27	,	7249	,	-37706	,	-23203	,	72.20416	,	17
35,27	,	7265	,	-37685	,	-23201	,	85.279884	,	13
35,27	,	7281	,	-37663	,	-23201	,	93.56621	,	8
35,27	,	7297	,	-37679	,	-23196	,	97.19584	,	3
35,27	,	7329	,	-37699	,	-23206	,	96.220825	,	0
35,27	,	7345	,	-37697	,	-23202	,	90.55515	,	0
35,27	,	7361	,	-37710	,	-23212	,	80.5405	,	0
35,27	,	7393	,	-37719	,	-23214	,	67.12811	,	0
35,27	,	7409	,	-37719	,	-23222	,	51.623394	,	0
35,27	,	7425	,	-37729	,	-23204	,	35.488792	,	0
35,27	,	7457	,	-37728	,	-23200	,	20.107193	,	0
35,27	,	7473	,	-37715	,	-23222	,	6.6615143	,	0
35,27	,	7489	,	-37733	,	-23217	,	-3.942398	,	0
35,27	,	7537	,	-37744	,	-23224	,	-15.740963	,	0
35,27	,	7553	,	-37776	,	-23224	,	-17.942053	,	0
35,27	,	7569	,	-37784	,	-23238	,	-19.182909	,	0
35,28	,	7601	,	-37796	,	-23228	,	-20.544128	,	0
35,28	,	7617	,	-37807	,	-23239	,	-22.487747	,	0
35,28	,	7633	,	-37819	,	-23248	,	-25.008228	,	0
35,28	,	7665	,	-37834	,	-23249	,	-27.903347	,	0
35,28	,	7681	,	-37864	,	-23254	,	-31.020576	,	0
35,28	,	7697	,	-37880	,	-23250	,	-34.406406	,	0
35,28	,	7729	,	-37894	,	-23263	,	-38.120052	,	0
35,28	,	7744	,	-37913	,	-23266	,	-42.013546	,	0
35,28	,	7761	,	-37919	,	-23265	,	-45.77484	,	0
35,28	,	7792	,	-37924	,	-23276	,	-48.96669	,	0
35,28	,	7808	,	-37950	,	-23286	,	-51.166054	,	0
35,28	,	7825	,	-37949	,	-23284	,	-52.221493	,	0
35,28	,	7840	,	-37970	,	-23283	,	-52.204323	,	0
35,28	,	7873	,	-37983	,	-23286	,	-51.31377	,	0
35,28	,	7905	,	-38015	,	-23321	,	-48.449146	,	1
